Group,Category,Code,Long Description,Short Description
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0021,"Ambulance service, outside state per mile, transport (medicaid only)",Outside state ambulance serv
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0080,"Non-emergency transportation, per mile - vehicle provided by volunteer (individual or organization), with no vested interest",Noninterest escort in non er
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0090,"Non-emergency transportation, per mile - vehicle provided by individual (family member, self, neighbor) with vested interest",Interest escort in non er
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0100,Non-emergency transportation; taxi,Nonemergency transport taxi
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0110,"Non-emergency transportation and bus, intra or inter state carrier",Nonemergency transport bus
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0120,"Non-emergency transportation: mini-bus, mountain area transports, or other transportation systems",Noner transport mini-bus
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0130,Non-emergency transportation: wheelchair van,Noner transport wheelch van
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0140,Non-emergency transportation and air travel (private or commercial) intra or inter state,Nonemergency transport air
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0160,Non-emergency transportation: per mile - case worker or social worker,Noner transport case worker
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0170,"Transportation ancillary: parking fees, tolls, other",Transport parking fees/tolls
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0180,Non-emergency transportation: ancillary: lodging-recipient,Noner transport lodgng recip
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0190,Non-emergency transportation: ancillary: meals-recipient,Noner transport meals recip
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0200,Non-emergency transportation: ancillary: lodging escort,Noner transport lodgng escrt
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0210,Non-emergency transportation: ancillary: meals-escort,Noner transport meals escort
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0225,"Ambulance service, neonatal transport, base rate, emergency transport, one way",Neonatal emergency transport
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0380,Bls mileage (per mile),Basic life support mileage
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0382,Bls routine disposable supplies,Basic support routine suppls
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0384,Bls specialized service disposable supplies; defibrillation (used by als ambulances and bls ambulances in jurisdictions where defibrillation is permitted in bls ambulances),Bls defibrillation supplies
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0390,Als mileage (per mile),Advanced life support mileag
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0392,Als specialized service disposable supplies; defibrillation (to be used only in jurisdictions where defibrillation cannot be performed in bls ambulances),Als defibrillation supplies
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0394,Als specialized service disposable supplies; iv drug therapy,Als iv drug therapy supplies
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0396,Als specialized service disposable supplies; esophageal intubation,Als esophageal intub suppls
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0398,Als routine disposable supplies,Als routine disposble suppls
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0420,"Ambulance waiting time (als or bls), one half (1/2) hour increments",Ambulance waiting 1/2 hr
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0422,"Ambulance (als or bls) oxygen and oxygen supplies, life sustaining situation",Ambulance 02 life sustaining
HCPCS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0424,"Extra ambulance attendant, ground (als or bls) or air (fixed or rotary winged); (requires medical review)",Extra ambulance attendant
